ID,Nama,Kelas,Al_Quran_Iqro,Hafalan_Surat_Pendek,Hafalan_Doa,Hafalan_Ayat_Pilihan,Bahasa_Arab,Bahasa_Inggris,Khat_Menulis,Menggambar_Mewarnai,Jasmani_Kesehatan,Kreativitas_Keaktifan,Ulumul_Quran,Kemampuan_Berbahasa,Rata_Rata,Kategori
1,Siswa_1,I.4,39,45,56,62,52,49,43,44,60,57,45,42,49.5,BB
2,Siswa_2,I.4,68,69,64,72,59,65,61,65,62,70,61,70,65.5,MB
3,Siswa_3,I.4,52,35,51,42,48,56,63,63,59,48,44,49,50.833333333333336,BB
4,Siswa_4,I.5,86,71,79,73,80,74,77,72,74,83,73,82,77.0,BSH
5,Siswa_5,I.2,84,87,92,93,85,90,93,89,93,100,89,86,90.08333333333333,BSB
6,Siswa_6,I.2,79,88,73,73,80,80,68,89,78,88,66,86,79.0,BSH
7,Siswa_7,I.4,45,39,46,41,51,63,48,42,52,44,45,53,47.416666666666664,BB
8,Siswa_8,I.3,63,65,67,58,59,69,61,68,59,62,72,68,64.25,MB
9,Siswa_9,I.2,62,56,55,65,60,67,73,64,62,71,63,66,63.666666666666664,MB
10,Siswa_10,I.4,87,99,98,97,87,89,96,92,100,92,90,84,92.58333333333333,BSB
11,Siswa_11,I.1,86,81,71,81,84,78,83,69,79,84,76,78,79.16666666666667,BSH
12,Siswa_12,I.4,92,100,100,94,87,80,83,100,87,92,97,100,92.66666666666667,BSB
13,Siswa_13,I.4,70,61,73,67,73,60,60,60,65,65,60,69,65.25,MB
14,Siswa_14,I.1,40,51,62,50,37,56,50,43,44,51,45,41,47.5,BB
15,Siswa_15,I.2,97,89,97,100,96,88,96,81,96,99,87,95,93.41666666666667,BSB
16,Siswa_16,I.4,43,51,47,58,40,51,52,57,50,48,64,54,51.25,BB
17,Siswa_17,I.5,50,59,56,52,56,45,46,40,49,51,49,50,50.25,BB
18,Siswa_18,I.2,51,52,45,41,50,59,43,61,54,47,54,50,50.583333333333336,BB
19,Siswa_19,I.2,100,96,82,100,100,88,92,83,87,91,100,89,92.33333333333333,BSB
20,Siswa_20,I.4,56,56,57,58,52,43,42,57,56,52,55,58,53.5,BB
21,Siswa_21,I.5,88,94,92,94,98,91,89,92,90,93,93,96,92.5,BSB
22,Siswa_22,I.4,65,81,70,78,86,71,84,82,79,72,77,78,76.91666666666667,BSH
23,Siswa_23,I.4,59,39,52,49,56,55,49,48,50,46,49,63,51.25,BB
24,Siswa_24,I.5,37,51,48,59,47,43,52,61,52,40,55,60,50.416666666666664,BB
25,Siswa_25,I.3,45,50,56,41,52,42,44,55,39,56,55,52,48.916666666666664,BB
26,Siswa_26,I.2,71,87,72,86,80,74,71,74,66,71,71,87,75.83333333333333,BSH
27,Siswa_27,I.5,64,50,50,53,51,47,51,49,45,47,49,40,49.666666666666664,BB
28,Siswa_28,I.4,85,94,92,88,93,88,99,90,100,93,92,93,92.25,BSB
29,Siswa_29,I.5,71,71,65,63,60,64,66,65,67,70,72,63,66.41666666666667,MB
30,Siswa_30,I.4,60,58,69,68,68,59,64,66,73,65,62,60,64.33333333333333,MB
31,Siswa_31,I.5,70,67,64,60,65,67,73,66,62,65,73,63,66.25,MB
32,Siswa_32,I.3,92,98,98,93,100,92,86,99,93,89,84,95,93.25,BSB
33,Siswa_33,I.3,59,62,57,64,64,56,65,68,69,67,68,68,63.916666666666664,MB
34,Siswa_34,I.3,58,42,41,36,48,39,54,57,37,48,44,59,46.916666666666664,BB
35,Siswa_35,I.5,85,81,98,100,88,96,97,99,90,87,100,82,91.91666666666667,BSB
36,Siswa_36,I.3,100,100,96,100,97,81,92,96,96,93,100,87,94.83333333333333,BSB
37,Siswa_37,I.4,78,71,78,79,81,76,76,84,79,89,78,75,78.66666666666667,BSH
38,Siswa_38,I.1,97,90,87,84,100,97,93,100,100,93,100,99,95.0,BSB
39,Siswa_39,I.2,82,82,80,76,72,77,79,88,73,75,76,69,77.41666666666667,BSH
40,Siswa_40,I.3,61,58,66,65,72,58,56,62,60,63,67,70,63.166666666666664,MB
41,Siswa_41,I.4,80,72,73,81,76,79,79,80,87,72,70,88,78.08333333333333,BSH
42,Siswa_42,I.2,70,66,66,65,63,65,69,66,58,66,70,74,66.5,MB
43,Siswa_43,I.3,100,88,94,93,87,89,95,84,90,99,95,91,92.08333333333333,BSB
44,Siswa_44,I.1,87,95,81,89,98,98,85,89,100,100,89,86,91.41666666666667,BSB
45,Siswa_45,I.2,47,55,45,48,42,37,49,49,46,40,39,44,45.083333333333336,BB
46,Siswa_46,I.2,78,69,77,74,87,69,75,76,79,67,72,80,75.25,BSH
